name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Sama Al Fayah Furniture Tr LLC,25.3014216,55.3777791,-0.13439178866726337,-0.28058792587386666,1:30-11:30 PM,9:30 AM-11:30 PM,9:30 AM-11:30 PM,9:30 AM-11:30 PM,9:30 AM-11:30 PM,9:30 AM-11:30 PM,9:30 AM-11:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Ilaj Services,25.1220033,55.3737695,-0.1088044075483294,0.464820107972366,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
"Holiday Inn Express Offenbach, an IHG Hotel",50.1059945,8.754798599999999,-0.03330065998426197,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hotel,2
Need a Car Trenton,44.1217542,-77.59280989999999,-0.11467692124775687,-1.1750775664893454,9 AM-5 PM,9 AM-4 PM,Closed,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dealer,4
YAB LEGAL SERVICES,25.2446891,55.3152348,-0.13124579918542723,0.16665689443387402,Closed,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
DAR AL FARAH FURNITURE LLC,25.3072163,55.3705141,-0.13669884762060988,-0.13150631910461932,4-11:45 PM,9:30 AM-11:45 PM,9:30 AM-11:45 PM,9:30 AM-11:45 PM,9:30 AM-11:45 PM,9:30 AM-11:45 PM,9:30 AM-11:45 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Zed Hostel,24.4789628,54.3512651,-0.13774751078122194,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Flash Casino Arnhem,51.981319,5.91284,-0.11572558440836893,-0.8769143529508521,11 AM-12 AM,1-11 PM,1-11 PM,11 AM-12 AM,11 AM-12 AM,11 AM-12 AM,11 AM-12 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
"Dr. Joy Dental Clinic, Beach Road (Jumeirah) Dubai",25.2231611,55.2563348,-0.07063306850205087,0.7629833215108593,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Al Safya Park,25.3326651,55.3732596,0.4327252485917321,-0.28058792587386666,2:30 AM-12 PM,10 AM-12 PM,10 AM-12 PM,10 AM-12 PM,10 AM-12 PM,10 AM-12 PM,10 AM-12 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tourist,0
