name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Forever Pet Care,25.3562524,55.3807476,0.999372839234187,0.03541084863428221,9-11 AM,10 AM-11 PM,10 AM-11 PM,10 AM-11 PM,10 AM-11 PM,10 AM-11 PM,10 AM-11 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Arheilgen Cemetery,49.9132172,8.6492936,0.9578262852211514,0.28734788556634544,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
Farouj Fawaz فروج فواز,25.3254486,55.3904806,0.9999955479364795,0.0029839750702616926,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Restaurant,0
Dubai Online Insurance,25.3309779,55.3705403,0.19611613513818404,0.9805806756909202,8-11:59 AM,Closed,Closed,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
Rendezvous Bowling Alley,25.3164531,51.495153,0.9999218841540816,0.01249902355192602,12-7 AM,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant,0
Flash Casino Haarlem Rozenstraat,52.387704,4.636292,0.991997911723619,0.12625427967391514,10 AM-1 AM,10 AM-1 AM,1 PM-1 AM,10 AM-1 AM,10 AM-1 AM,10 AM-1 AM,10 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
"Deira Travel & Tourist Agency - Abraj Center, Sabkha, Deira",25.2696641,55.3033421,0.19611613513818404,0.9805806756909202,9:30 AM-12 PM,9:30 AM-10:30 PM,4:30-10 PM,9:30 AM-10:30 PM,9:30 AM-10:30 PM,9:30 AM-10:30 PM,9:30 AM-10:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
ALMarmoom equine hospital,24.9047339,55.3332944,0.6246950475544243,0.7808688094430304,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hospital,0
"MiniGardens (Exotic Orchids), Dubai UAE",25.2306484,55.32123,0.9995006863950594,0.031597118473134136,9 AM-5 PM,9 AM-5 PM,Closed,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
مركز الأحباب للتجميل والعناية الشخصية للرجال,25.3049088,55.3689141,0.6401843996644799,0.7682212795973759,9 AM-12 AM,9 AM-12 AM,9 AM-12 AM,10 AM-12 AM,10 AM-12 AM,10 AM-12 AM,10 AM-12 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Good Luck Jewellery & Goldsmith,25.2703009,55.2987984,0.5380354529218648,0.8429222095775883,10:30 AM-10 PM,10:30 AM-10 PM,10:30 AM-10 PM,10:30 AM-10 PM,10:30 AM-10 PM,10:30 AM-10 PM,10:30 AM-10 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Giordano,25.269666,55.322631,0.9500317490404901,0.31215328897044675,10 AM-11 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-11 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Giordano,25.269666,55.322631,0.9500317490404901,0.31215328897044675,10 AM-11 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-10:30 PM,10 AM-11 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Uform Fitness - Reef Mall,25.269666,55.322631,0.999975087436175,0.007058647676020059,7 AM-1 AM,7 AM-1 AM,10 AM-1 AM,7 AM-1 AM,7 AM-1 AM,7 AM-1 AM,7 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fitness,0
Uform Fitness - Reef Mall,25.269666,55.322631,0.999975087436175,0.007058647676020059,7 AM-1 AM,7 AM-1 AM,10 AM-1 AM,7 AM-1 AM,7 AM-1 AM,7 AM-1 AM,7 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fitness,0
Al Nasr used Cars,25.3455822,55.4790242,0.9997531778316099,0.022216737285146886,4-10 PM,9 AM-10 PM,9 AM-10 PM,9 AM-10 PM,9 AM-10 PM,9 AM-10 PM,9 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dealer,0
Turnhout - City Hall,51.323176,4.947627,0.9830739424429767,0.1832092347280093,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
SNS Bank Utrecht Oost,52.092537,5.129044,0.9906788398452958,0.1362183404787282,9:30 AM-5:30 PM,Closed,Closed,1-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bank,3
Burj Al Nahda Gents Salon,25.3002575,55.3758644,0.9829688162177399,0.1837724308580992,7:30-11:30 AM,7:45 AM-11:45 PM,7:45 AM-11:45 PM,7:45 AM-11:45 PM,7:45 AM-11:45 PM,7:45 AM-11:45 PM,7:45 AM-11:45 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Jilts Bar,55.7742583,-4.0372287,0.9998528886864798,0.017152288048596514,11 AM-7 PM,11 AM-7 PM,Closed,11 AM-7 PM,11 AM-7 PM,11 AM-7 PM,11 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Restaurant,4
Consulate of Kuwait,25.256604,55.3107635,0.9993797159281719,0.035216237608897485,8:30 AM-12 PM,Closed,Closed,8:30 AM-2:30 PM,8:30 AM-2:30 PM,8:30 AM-2:30 PM,8:30 AM-2:30 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
